day,queueid,ngames
2018-08-01,420,80503
2018-08-01,450,69478
2018-08-02,420,77070
2018-08-02,450,51478
2018-08-03,420,74501
2018-08-03,450,45495
2018-08-04,420,80574
2018-08-04,450,54285
2018-08-05,420,86813
2018-08-05,450,60534
2018-08-06,420,65337
2018-08-06,450,58878
2018-08-07,420,84240
2018-08-07,450,55712
2018-08-08,420,81636
2018-08-08,450,54142
2018-08-09,420,83800
2018-08-09,450,53694
2018-08-10,420,80729
2018-08-10,450,53044
2018-08-11,420,86225
2018-08-11,450,59212
2018-08-12,420,90994
2018-08-12,450,64148
2018-08-13,420,84418
2018-08-13,450,59499
2018-08-14,420,84592
2018-08-14,450,61656
2018-08-15,420,75602
2018-08-15,450,45258
2018-08-15,1200,74346
2018-08-16,420,78870
2018-08-16,450,38503
2018-08-16,1200,111146
2018-08-17,420,79985
2018-08-17,450,40628
2018-08-17,1200,90539
2018-08-18,420,87557
2018-08-18,450,46794
2018-08-18,1200,85411
2018-08-19,420,93983
2018-08-19,450,50692
2018-08-19,1200,85385
2018-08-20,420,83431
2018-08-20,450,43843
2018-08-20,1200,67864
2018-08-21,420,83835
2018-08-21,450,44277
2018-08-21,1200,62040
2018-08-22,420,83612
2018-08-22,450,44978
2018-08-22,1200,56710
2018-08-23,420,82541
2018-08-23,450,45060
2018-08-23,1200,51389
2018-08-24,420,82092
2018-08-24,450,46211
2018-08-24,1200,49125
2018-08-25,420,89916
2018-08-25,450,52580
2018-08-25,1200,53207
2018-08-26,420,99026
2018-08-26,450,57900
2018-08-26,1200,55055
2018-08-27,420,84136
2018-08-27,450,48106
2018-08-27,1200,41227
2018-08-28,420,82953
2018-08-28,450,48400
2018-08-28,1200,39213
2018-08-29,420,74812
2018-08-29,450,44475
2018-08-29,1200,40563
2018-08-30,420,81726
2018-08-30,450,47236
2018-08-30,1200,40814
2018-08-31,420,83316
2018-08-31,450,49045
2018-08-31,1200,39413
2018-09-01,420,90014
2018-09-01,450,54180
2018-09-01,1200,41957
2018-09-02,420,97751
2018-09-02,450,58760
2018-09-02,1200,43649
2018-09-03,420,109073
2018-09-03,450,65628
2018-09-03,1200,48151
2018-09-04,420,81760
2018-09-04,450,49278
2018-09-04,1200,32398
2018-09-05,420,72345
2018-09-05,450,49055
2018-09-05,1200,30504
2018-09-06,420,76711
2018-09-06,450,47824
2018-09-06,1200,28042
2018-09-07,420,79336
2018-09-07,450,50711
2018-09-07,1200,29631
2018-09-08,420,93647
2018-09-08,450,59428
2018-09-08,1200,35469
2018-09-09,420,97817
2018-09-09,450,62795
2018-09-09,1200,37019
2018-09-10,420,81842
2018-09-10,450,51392
2018-09-10,1200,28475
2018-09-11,420,81286
2018-09-11,450,51899
2018-09-11,1200,28826
2018-09-12,420,63436
2018-09-12,450,36544
2018-09-12,1200,7293
2018-09-13,420,68350
2018-09-13,450,35168
2018-09-14,420,72622
2018-09-14,450,37905
2018-09-15,420,88796
2018-09-15,450,48136
2018-09-16,420,94041
2018-09-16,450,54039
2018-09-17,420,79379
2018-09-17,450,45733
2018-09-18,420,75625
2018-09-18,450,44922
2018-09-19,420,77910
2018-09-19,450,50073
2018-09-20,420,84319
2018-09-20,450,50303
2018-09-21,420,87822
2018-09-21,450,54023
2018-09-22,420,103653
2018-09-22,450,63873
2018-09-23,420,107891
2018-09-23,450,67936
2018-09-24,420,86296
2018-09-24,450,54853
2018-09-25,420,87937
2018-09-25,450,55930
2018-09-26,420,84382
2018-09-26,450,54446
2018-09-27,420,86978
2018-09-27,450,58809
